title,console,genre,publisher,developer
Diablo III: Ultimate Evil Edition,PS4,Role-Playing,Blizzard Entertainment,Blizzard Entertainment
Finding Nemo,GBA,Platform,THQ,Vicarious Visions
Medal of Honor,PS3,Shooter,Electronic Arts,EA Los Angeles
Imagine: Fashion Designer,DS,Simulation,Ubisoft,Virtual Toys / Lexis Numerique
Need for Speed: Hot Pursuit,PS3,Racing,Electronic Arts,Criterion Games
NBA Street,PS2,Sports,EA Sports BIG,NuFX
Skylanders: Spyro's Adventure,Wii,Action,Activision,Toys for Bob
Mortal Kombat Trilogy,PS,Fighting,Midway Games,Avalanche Software
Hot Shots Golf,PS,Sports,Sony Computer Entertainment,Camelot Software Planning
A Bug's Life,PS,Platform,Sony Computer Entertainment,Traveller's Tales
Star Wars: The Force Unleashed,X360,Action,LucasArts,LucasArts
Saints Row: The Third,X360,Action,THQ,Volition Inc.
The Sims,PS2,Simulation,Electronic Arts,Edge of Reality
Need for Speed: Most Wanted (2012),PS3,Racing,Electronic Arts,Criterion Games
Far Cry: Primal,PS4,Action-Adventure,Ubisoft,Ubisoft Montreal
Need for Speed (2015),PS4,Racing,Electronic Arts,Ghost Games
Skate 3,X360,Sports,EA Sports,EA Black Box
Madden NFL 12,X360,Sports,EA Sports,EA Tiburon
Call of Duty 3,X360,Shooter,Activision,Treyarch
LEGO Star Wars II: The Original Trilogy,PS2,Action,LucasArts,Traveller's Tales
Madden NFL 11,X360,Sports,EA Sports,EA Tiburon
Burnout 3: Takedown,PS2,Racing,Electronic Arts,Criterion Games
Mortal Kombat,GEN,Fighting,Arena Entertainment,Probe Entertainment Limited
Call of Duty 2: Big Red One,PS2,Shooter,Activision,Treyarch
Final Fantasy XIII-2,PS3,Role-Playing,Square Enix,Square Enix
Medal of Honor Heroes,PSP,Shooter,Electronic Arts,Team Fusion
WWE SmackDown! Shut Your Mouth,PS2,Fighting,THQ,Yuke's
Need for Speed: Shift,PS3,Racing,Electronic Arts,Slightly Mad Studios
NBA 2K12,X360,Sports,2K Sports,Visual Concepts
Midnight Club: Street Racing,PS2,Racing,Rockstar Games,Angel Studios
NBA 2K19,PS4,Sports,2K Sports,Visual Concepts
ESPN NFL 2K5,PS2,Sports,Sega,Visual Concepts
Madden NFL 18,PS4,Sports,EA Sports,EA Tiburon
LittleBigPlanet,PSP,Platform,Sony Computer Entertainment,SCEE Cambridge
Harry Potter and the Chamber of Secrets,PS2,Adventure,Electronic Arts,Eurocom Entertainment Software
Grand Theft Auto: Episodes from Liberty City,X360,Adventure,Rockstar Games,Rockstar North
Streets of Rage,GEN,Action,Sega,Sega
FIFA Soccer 09,PS3,Sports,Electronic Arts,EA Canada
NBA Live 2005,PS2,Sports,EA Sports,EA Canada
WWE SmackDown vs. RAW 2007,PS2,Fighting,THQ,Yuke's
Skylanders Giants,Wii,Misc,Activision,Toys for Bob
Madden NFL 08,PS2,Sports,EA Sports,EA Tiburon
NBA 2K14,X360,Sports,2K Sports,Visual Concepts
Dragon Age: Origins,X360,Role-Playing,Electronic Arts,BioWare Edmonton
Madden NFL 09,X360,Sports,EA Sports,EA Tiburon
Crazy Taxi,PS2,Racing,Acclaim Entertainment,Hitmaker
Tomb Raider (2013),PS3,Action,Square Enix,Crystal Dynamics
Midnight Club: Los Angeles,PS3,Racing,Rockstar Games,Rockstar San Diego
PES 2009: Pro Evolution Soccer,PS2,Sports,Konami,Konami
Marvel: Ultimate Alliance,X360,Role-Playing,Activision,Raven Software
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,Action,Rockstar Games,Rockstar North
Mortal Kombat: Deadly Alliance,PS2,Fighting,Midway Games,Midway
Game Party,Wii,Misc,Midway Games,JGI Entertainment
NBA 2K15,PS4,Sports,2K Sports,Visual Concepts
Tomb Raider: The Last Revelation,PS,Action,Eidos Interactive,Core Design Ltd.
Rock Band,X360,Misc,MTV Games,Harmonix Music Systems
Pure,X360,Racing,Disney Interactive Studios,Black Rock Studio
LEGO Harry Potter: Years 1-4,Wii,Adventure,Warner Bros. Interactive,Traveller's Tales
Dying Light,PS4,Action,Warner Bros. Interactive,Techland
Twisted Metal 2,PS,Racing,Sony Computer Entertainment,SingleTrac
The Sims: Bustin' Out,PS2,Simulation,Electronic Arts,Maxis
Tom Clancy's Rainbow Six: Vegas 2,X360,Shooter,Ubisoft,Ubisoft Montreal
Sonic Adventure,DC,Platform,Sega,Sonic Team
Need for Speed Carbon: Own the City,PSP,Racing,Electronic Arts,EA Black Box
Need for Speed: ProStreet,PS2,Racing,Electronic Arts,EA Black Box
Pro Evolution Soccer 2011,PS3,Sports,Konami,Konami
Batman: Arkham Origins,PS3,Action-Adventure,Warner Bros. Interactive Entertainment,Warner Bros. Interactive Entertainment
Tetris Plus,PS,Puzzle,Jaleco,Atlus Co.
Theme Hospital,PC,Strategy,Electronic Arts,Bullfrog Productions
Zumba Fitness,X360,Sports,Majesco,"Pipeworks Software, Inc."
Monopoly,PC,Misc,Hasbro Interactive,Unknown
Dead Island,X360,Action,Deep Silver,Techland
The Incredibles,PS2,Action,THQ,Heavy Iron Studios
Tony Hawk's Underground 2,PS2,Sports,Activision,Neversoft Entertainment
Sonic's Ultimate Genesis Collection,PS3,Misc,Sega,Backbone Entertainment
Lego Marvel Super Heroes,X360,Action,Warner Bros. Interactive Entertainment,Traveller's Tales
WWE SmackDown vs Raw 2008,PS2,Fighting,THQ,Yuke's Media Creations
Dragon Age: Inquisition,PS4,Role-Playing,Electronic Arts,BioWare Edmonton
Madden NFL 25,X360,Sports,EA Sports,EA Tiburon
Grand Theft Auto,PS,Action,Take-Two Interactive,DMA Design
Cool Boarders 3,PS,Sports,989 Studios,Idol Minds Digital Entertainment
James Bond 007: Everything or Nothing,PS2,Shooter,Electronic Arts,EA Redwood Shores
Pro Evolution Soccer 2010,PS3,Sports,Konami,Konami
No Man's Sky,PS4,Action-Adventure,Hello Games,Hello Games
Madden NFL 15,PS4,Sports,EA Sports,EA Tiburon
Just Dance Kids,Wii,Misc,Ubisoft,Ubisoft Paris
Cool Boarders 2,PS,Sports,Sony Computer Entertainment,UEP Systems
Teenage Mutant Ninja Turtles II: The Arcade Game,NES,Action,Ultra Games,Konami
Prince of Persia: The Sands of Time,PS2,Adventure,Ubisoft,Ubisoft Montreal
Battlefield V,PS4,Shooter,Electronic Arts,EA DICE
Madden NFL 19,PS4,Sports,EA Sports,EA Tiburon
Rock Band 2,X360,Misc,MTV Games,Harmonix Music Systems
BioShock 2,X360,Shooter,2K Games,2K Marin
Skylanders SWAP Force,Wii,Platform,Activision,Beenox
Pro Evolution Soccer 2012,PS3,Sports,Konami,Konami
Star Wars: Knights of the Old Republic,XB,Role-Playing,LucasArts,BioWare Corp.
Destiny: The Taken King,PS4,Shooter,Activision,Bungie
Need for Speed: Payback,PS4,Racing,Electronic Arts,Ghost Games
Need for Speed Rivals,PS4,Racing,Electronic Arts,Ghost Games
PlayerUnknown's Battlegrounds,XOne,Shooter,Microsoft Studios,PUBG Corporation
Spyro Reignited Trilogy,PS4,Platform,Activision,Toys for Bob
Syphon Filter 2,PS,Shooter,989 Studios,Eidetic
Battlefield: Hardline,PS4,Shooter,Electronic Arts,EA DICE
SimCity 2000,PC,Simulation,Maxis,Maxis
Demon Attack,2600,Shooter,Imagic,Imagic
Need for Speed: Hot Pursuit 2,PS2,Racing,Electronic Arts,EA Seattle
NBA 2K11,X360,Sports,2K Sports,Visual Concepts
Scooby-Doo! Night of 100 Frights,PS2,Platform,THQ,Heavy Iron Studios
Need for Speed: Most Wanted 5-1-0,PSP,Racing,Electronic Arts,EA Black Box
Just Dance 2015,Wii,Music,Ubisoft,Ubisoft Paris
Tetris Worlds,PS2,Puzzle,THQ,Blue Planet Software
Metal Gear Solid: Peace Walker,PSP,Action,Konami,Kojima Productions
Sim Theme Park,PC,Strategy,Electronic Arts,Bullfrog Productions
Wipeout: The Game,Wii,Misc,Activision,Endemol
Portal 2,X360,Shooter,Valve,Valve Software
UFC 2009 Undisputed,X360,Fighting,THQ,Yuke's Osaka
Spec Ops: Airborne Commando,PS,Shooter,Gotham Games,Big Grub
Rise of the Tomb Raider,PS4,Adventure,Square Enix,Crystal Dynamics
The Sims 2: Pets,DS,Simulation,Electronic Arts,Maxis
Call of Duty 2,X360,Shooter,Activision,Infinity Ward
R4: Ridge Racer Type 4,PS,Racing,Namco,Namco
Toy Story 3: The Video Game,DS,Action,Disney Interactive Studios,Avalanche Software
Hitman: Absolution,PS3,Action,Square Enix,IO Interactive
Tom Clancy's Splinter Cell: Conviction,X360,Action,Ubisoft,Ubisoft Montreal
Need for Speed: Undercover,PS3,Racing,Electronic Arts,EA Vancouver
Famista '89 - Kaimaku Han!!,NES,Sports,Namco,Namco
Dark Souls,PS3,Role-Playing,Namco Bandai,From Software
Mortal Kombat vs DC Universe,PS3,Fighting,Midway Games,Midway Amusement Games
The Elder Scrolls Online: Tamriel Unlimited,PS4,MMO,Bethesda Softworks,ZeniMax Online Studios
NBA Jam,GEN,Sports,Arena Entertainment,Iguana Entertainment
Middle-Earth: Shadow of War,PS4,Action,Warner Bros. Interactive Entertainment,Monolith Productions
Peter Jackson's King Kong: The Official Game of the Movie,PS2,Action,Ubisoft,Ubisoft Montpellier
NBA Live 2004,PS2,Sports,EA Sports,EA Canada
Rayman Raving Rabbids: TV Party,Wii,Misc,Ubisoft,Ubisoft Paris
Rocket League,PS4,Sports,505 Games,Psyonix Studios
Just Dance 3,X360,Misc,Ubisoft,Ubisoft Paris
Need for Speed: The Run,PS3,Racing,Electronic Arts,EA Black Box
Dead Space,PS3,Shooter,Electronic Arts,EA Redwood Shores
Just Cause 3,PS4,Action-Adventure,Square Enix,Avalanche Studios
Dishonored 2,PS4,Action,Bethesda Softworks,Arkane Studios
BioShock Infinite,X360,Shooter,2K Games,Irrational Games
Spyro: Enter the Dragonfly,PS2,Platform,VU Games,Check Six Games
Hot Shots Golf: Open Tee,PSP,Sports,Sony Computer Entertainment,Clap Hanz
NBA Street Vol. 2,PS2,Sports,EA Sports BIG,EA Canada
Tom Clancy's Rainbow Six: Vegas,X360,Shooter,Ubisoft,Ubisoft Montreal
Grand Theft Auto: San Andreas,XB,Action,Rockstar Games,Rockstar North
Star Wars: Dark Forces,PC,Shooter,LucasArts,LucasArts
Crash Nitro Kart,PS2,Racing,VU Games,Vicarious Visions
Burnout Paradise,PS3,Racing,Electronic Arts,Criterion Games
Tom Clancy's Ghost Recon,PS2,Shooter,Ubisoft,Red Storm Entertainment
Def Jam Vendetta,PS2,Fighting,EA Sports BIG,Aki Corporation
Jet Moto 2,PS,Racing,Sony Computer Entertainment,SingleTrac
X-Men Legends,PS2,Role-Playing,Activision,Raven Software
Virtua Fighter 2,SAT,Fighting,Sega,Sega-AM2
Mortal Kombat II,SNES,Fighting,Acclaim Entertainment,Sculptured Software
Red Faction,PS2,Shooter,THQ,Volition Inc.
MX Unleashed,PS2,Racing,THQ,Rainbow Studios
Hot Shots Golf 2,PS,Sports,Sony Computer Entertainment,Clap Hanz
Mortal Kombat: Deception,PS2,Fighting,Midway Games,Midway Games
WCW Nitro,PS,Fighting,THQ,Inland Productions
FIFA 2000,PS,Sports,EA Sports,EA Canada
High School Musical: Sing It!,PS2,Misc,Disney Interactive Studios,Artificial Mind and Movement
inFAMOUS 2,PS3,Action,Sony Computer Entertainment,Sucker Punch Productions
SingStar,PS2,Misc,Sony Computer Entertainment,SCEE London Studio
The Legend of Dragoon,PS,Role-Playing,Sony Computer Entertainment,SCEI
The Evil Within,PS4,Action,Bethesda Softworks,Tango Gameworks
Shrek 2,PS2,Platform,Activision,"Luxoflux, Inc."
Max Payne 3,PS3,Shooter,Rockstar Games,Rockstar Vancouver
NBA Live 2002,PS2,Sports,EA Sports,EA Canada
Jak 3,PS2,Platform,Sony Computer Entertainment,Naughty Dog
Forza Horizon 4,XOne,Racing,Microsoft Studios,Playground Games
Rayman Raving Rabbids 2,Wii,Misc,Ubisoft,Ubisoft Paris
NCAA Football 06,PS2,Sports,EA Sports,EA Tiburon
Jet Moto,PS,Racing,Sony Computer Entertainment,SingleTrac
Sonic & Knuckles,GEN,Platform,Sega,Sonic Team
The Orange Box,X360,Shooter,Electronic Arts,Valve Software
Dragon Quest XI,3DS,Role-Playing,Square Enix,Square Enix
Sly 2: Band of Thieves,PS2,Platform,Sony Computer Entertainment,Sucker Punch
The Crew,PS4,Racing,Ubisoft,Ubisoft Reflections
LEGO Star Wars III: The Clone Wars,Wii,Action,LucasArts,Traveller's Tales
The Lion King,SNES,Platform,Virgin Interactive,Westwood Studios
SpongeBob SquarePants: SuperSponge,PS,Action,THQ,Climax Group
Midnight Club II,PS2,Racing,Rockstar Games,Rockstar San Diego
50 Cent: Bulletproof,PS2,Action,Vivendi Games,Genuine
State of Emergency,PS2,Action,Rockstar Games,VIS Entertainment
Star Wars: Starfighter,PS2,Simulation,LucasArts,LucasArts
Dragon's Dogma,PS3,Role-Playing,Capcom,Capcom
The SpongeBob SquarePants Movie,PS2,Platform,THQ,Heavy Iron Studios
Sonic the Hedgehog 3,GEN,Platform,Sega,Sonic Team
Def Jam: Fight for NY,PS2,Fighting,Electronic Arts,AKI Corporation / EA Canada
WWF Attitude,PS,Fighting,Acclaim Entertainment,Acclaim Entertainment
The Urbz: Sims in the City,PS2,Simulation,Electronic Arts,Maxis
Just Cause 2,PS3,Action,Square Enix,Avalanche Studios
For Honor,PS4,Action,Ubisoft,Ubisoft Montreal
Madden NFL 2000,PS,Sports,EA Sports,EA Tiburon
Pro Evolution Soccer,PS2,Sports,Konami,Konami Computer Entertainment Tokyo
Star Wars Episode I: The Phantom Menace,PS,Adventure,LucasArts,Big Ape Productions
Shadow of the Tomb Raider,PS4,Action-Adventure,Square Enix,Eidos Montreal
Harry Potter and the Sorcerer's Stone,GB,Action,Electronic Arts,Griptonite Games
SSX Tricky,PS2,Sports,EA Sports BIG,EA Canada
Dishonored,X360,Shooter,Bethesda Softworks,Arkane Studios
Injustice 2,PS4,Fighting,Warner Bros. Interactive Entertainment,NetherRealm Studios
Hot Shots Golf Fore!,PS2,Sports,Sony Computer Entertainment,Clap Hanz
Deal or No Deal,DS,Misc,"Destination Software, Inc",Global Star
Titanfall 2,PS4,Shooter,Electronic Arts,Respawn Entertainment
The Beatles: Rock Band,Wii,Misc,MTV Games,Harmonix Music Systems
